입영월,군사특기명,입영부대,접수인원,지원인원,남은인원,커트라인
2023년2월,선박운용,육군훈련소,3,11,8,70
2023년2월,군사경찰,육군훈련소,166,251,85,48
2023년2월,재정회계,육군훈련소,9,74,65,80
2023년2월,야전건설(중졸),육군훈련소,1,0,-1,0
2023년2월,배관/기계설비(중졸),육군훈련소,1,0,-1,0
2023년2월,굴착기운용(중졸),육군훈련소,1,0,-1,0
2023년2월,용접/기계공작(중졸),육군훈련소,1,0,-1,0
2023년2월,조리(중졸),육군훈련소,6,0,-6,0
2023년2월,수송운용(중졸),육군훈련소,48,0,-48,0
2023년2월,지게차운전(중졸),육군훈련소,1,0,-1,0
2023년2월,차량부대정비(중졸),육군훈련소,5,0,-5,0
2023년2월,구난차량운전(중졸),육군훈련소,3,0,-3,0
2023년2월,선박운용(중졸),육군훈련소,1,0,-1,0
2023년2월,전문치과,육군훈련소,2,0,-2,0
2023년2월,전문임상병리,육군훈련소,3,2,-1,82
2023년2월,전문방사선촬영,육군훈련소,5,1,-4,0
2023년2월,전문약제,육군훈련소,15,2,-13,82
2023년2월,전문물리치료,육군훈련소,3,8,5,76
2023년2월,천호운용/정비,육군훈련소,11,127,116,55
2023년2월,신호정보/전자전운용,육군훈련소,15,94,79,72
2023년3월,K계열전차승무,육군훈련소,54,120,66,52
2023년3월,K계열전차부대정비,육군훈련소,19,31,12,46
2023년3월,M계열전차부대정비,육군훈련소,5,7,2,52
2023년3월,장갑차조종,육군훈련소,108,168,60,46
2023년3월,장갑차부대정비,육군훈련소,12,26,14,61
2023년3월,K-21보병전투차량승무,육군훈련소,23,40,17,49
2023년3월,K-55자주포조종,육군훈련소,43,35,-8,46
2023년3월,K-9자주포조종,육군훈련소,49,61,12,48
2023년3월,K239포병,육군훈련소,48,33,-15,53
2023년3월,M/A포병,육군훈련소,5,5,0,54
2023년3월,사격지휘,육군훈련소,124,80,-44,53
2023년3월,포병레이더,육군훈련소,2,11,9,70
2023년3월,포병측지,육군훈련소,16,49,33,62
2023년3월,현무포병,육군훈련소,6,12,6,58
2023년3월,발칸운용/정비,육군훈련소,62,225,163,53
2023년3월,비호운용/정비,육군훈련소,29,114,85,53
2023년3월,방공작전통제,육군훈련소,24,355,331,56
2023년3월,천마운용/정비,육군훈련소,20,218,198,66
2023년3월,방공레이더운용/정비,육군훈련소,12,262,250,84
2023년3월,군사정보,육군훈련소,30,106,76,64
2023년3월,감시장비운용,육군훈련소,170,298,128,59
2023년3월,소방장비,육군훈련소,15,93,78,70
2023년3월,배관/기계설비,육군훈련소,1,18,17,88
2023년3월,도하장비조종,육군훈련소,6,9,3,52
2023년3월,공기압축기운용,육군훈련소,1,5,4,86
2023년3월,크레인운용,육군훈련소,5,24,19,69
2023년3월,굴착기운용,육군훈련소,1,68,67,89
2023년3월,발전기운용/정비,육군훈련소,12,78,66,88
2023년3월,공병장비부대정비,육군훈련소,3,4,1,56
2023년3월,전술통신장비운용/정비,육군훈련소,178,151,-27,49
2023년3월,무선전송장비운용/정비,육군훈련소,78,172,94,59
2023년3월,이동통신장비운용/정비,육군훈련소,93,49,-44,54
2023년3월,정보통신망관리장비운용/정비,육군훈련소,16,76,60,68
2023년3월,교환시설운용/정비,육군훈련소,10,28,18,61
2023년3월,MW운용/정비,육군훈련소,13,154,141,91
2023년3월,위성운용/정비,육군훈련소,54,111,57,60
2023년3월,레이다운용/정비,육군훈련소,46,85,39,58
2023년3월,네트워크운용/정비,육군훈련소,85,173,88,60
2023년3월,전술C4I운용/정비,육군훈련소,45,104,59,59
2023년3월,정보체계운용/정비,육군훈련소,38,101,63,61
2023년3월,항공운항/관제,육군훈련소,12,68,56,69
2023년3월,공격헬기정비,육군훈련소,14,46,32,76
2023년3월,기동헬기운용,육군훈련소,34,50,16,58
2023년3월,화생방,육군훈련소,8,142,134,86
2023년3월,화생방제독,육군훈련소,122,96,-26,55
2023년3월,화생방정찰,육군훈련소,18,115,97,67
2023년3월,로켓무기정비,육군훈련소,7,21,14,58
2023년3월,총기정비,육군훈련소,7,19,12,64
2023년3월,광학기재정비,육군훈련소,7,58,51,86
2023년3월,감시장비정비,육군훈련소,3,24,21,85
2023년3월,유선장비정비,육군훈련소,7,31,24,63
2023년3월,무선장비정비,육군훈련소,10,51,41,64
2023년3월,공병장비정비,육군훈련소,7,19,12,62
2023년3월,발전기정비,육군훈련소,6,45,39,89
2023년3월,용접/기계공작,육군훈련소,2,45,43,94
2023년3월,화생방장비정비,육군훈련소,3,13,10,60
2023년3월,의무장비정비,육군훈련소,7,85,78,93
2023년3월,탄약관리,육군훈련소,134,195,61,56
2023년3월,장비수리부속공구보급,육군훈련소,18,62,44,61
2023년3월,편성보급,육군훈련소,71,145,74,59
2023년3월,지원보급,육군훈련소,89,167,78,58
2023년3월,연료관리,육군훈련소,56,67,11,52
2023년3월,물자근무지원,육군훈련소,15,74,59,63
2023년3월,조리,육군훈련소,248,450,202,52
2023년3월,수송운용(차량운전),육군훈련소,1129,3890,2761,101
2023년3월,수송운용(차량운전),1사단,61,397,336,106
2023년3월,수송운용(차량운전),25사단,30,223,193,104
2023년3월,수송운용(차량운전),9사단,31,371,340,107
2023년3월,수송운용(차량운전),3사단,53,251,198,101
2023년3월,수송운용(차량운전),6사단,38,180,142,101
2023년3월,수송운용(차량운전),5사단,31,178,147,103
2023년3월,수송운용(차량운전),28사단,62,362,300,103
2023년3월,수송운용(차량운전),51사단,35,595,560,108
2023년3월,수송운용(차량운전),55사단,24,530,506,110
2023년3월,견인차량운전,육군훈련소,30,48,18,96
2023년3월,지게차운전,육군훈련소,25,72,47,69
2023년3월,차량부대정비,육군훈련소,170,155,-15,52
2023년3월,구난차량운전,육군훈련소,35,66,31,98
2023년3월,크레인차량운전,육군훈련소,16,21,5,93
2023년3월,전장이동통제,육군훈련소,16,136,120,74
2023년3월,항만운용,육군훈련소,11,65,54,65
2023년3월,군사경찰,육군훈련소,83,272,189,52
2023년3월,영상제작,육군훈련소,4,89,85,80
2023년3월,일반의무,육군훈련소,154,1707,1553,72
2023년3월,배관/기계설비(중졸),육군훈련소,1,0,-1,0
2023년3월,굴착기운용(중졸),육군훈련소,1,0,-1,0
2023년3월,용접/기계공작(중졸),육군훈련소,1,0,-1,0
2023년3월,조리(중졸),육군훈련소,8,0,-8,0
2023년3월,수송운용(중졸),육군훈련소,58,1,-57,55
2023년3월,견인차량운전(중졸),육군훈련소,2,0,-2,0
2023년3월,지게차운전(중졸),육군훈련소,2,0,-2,0
2023년3월,차량부대정비(중졸),육군훈련소,10,0,-10,0
2023년3월,구난차량운전(중졸),육군훈련소,5,0,-5,0
2023년3월,전문간호,육군훈련소,7,11,4,76
2023년3월,신호정보/전자전운용,육군훈련소,15,80,65,66
2023년4월,K계열전차승무,육군훈련소,81,145,64,49
2023년4월,전차통신정비,육군훈련소,3,15,12,84
2023년4월,장갑차조종,육군훈련소,132,213,81,48
2023년4월,장갑차부대정비,육군훈련소,12,60,48,68
2023년4월,K-21보병전투차량승무,육군훈련소,23,44,21,48
2023년4월,K-55자주포조종,육군훈련소,44,56,12,46
2023년4월,K-9자주포조종,육군훈련소,34,48,14,46
2023년4월,K239포병,육군훈련소,39,55,16,57
2023년4월,M/A포병,육군훈련소,5,10,5,58
2023년4월,사격지휘,육군훈련소,124,55,-69,54
2023년4월,포병레이더,육군훈련소,1,9,8,93
2023년4월,포병측지,육군훈련소,9,28,19,62
2023년4월,현무포병,육군훈련소,1,3,2,60
2023년4월,발칸운용/정비,육군훈련소,59,266,207,54
2023년4월,오리콘운용/정비,육군훈련소,20,116,96,55
2023년4월,비호운용/정비,육군훈련소,29,137,108,54
2023년4월,휴대용유도무기운용/정비,육군훈련소,17,430,413,59
2023년4월,천마운용/정비,육군훈련소,19,199,180,64
2023년4월,군사정보,육군훈련소,26,105,79,68
2023년4월,감시장비운용,육군훈련소,79,275,196,69
2023년4월,전기설비,육군훈련소,1,52,51,96
2023년4월,장갑전투도저운전,육군훈련소,5,9,4,61
2023년4월,정수장비운용,육군훈련소,7,63,56,68
2023년4월,공기압축기운용,육군훈련소,1,3,2,62
2023년4월,크레인운용,육군훈련소,4,21,17,67
2023년4월,로더운전,육군훈련소,9,32,23,72
2023년4월,발전기운용/정비,육군훈련소,4,34,30,89
2023년4월,전술통신장비운용/정비,육군훈련소,264,261,-3,48
